id,uid,sid,rscore,time_reviewed,for_seller
1,1,7,1,2024-04-23 16:36:02,True
2,1,4,1,2024-04-11 16:36:02,True
3,1,9,3,2024-10-25 16:36:02,True
4,1,9,3,2024-04-21 16:36:02,True
5,1,10,3,2024-02-21 16:36:02,True
6,1,10,2,2024-06-03 16:36:02,True
7,1,9,5,2024-05-14 16:36:02,True
8,1,4,1,2024-11-18 16:36:02,True
9,1,6,2,2024-11-04 16:36:02,True
10,1,9,1,2024-09-21 16:36:02,True
11,1,3,3,2024-04-19 16:36:02,True
12,1,6,5,2024-03-02 16:36:02,True
13,1,4,4,2024-08-11 16:36:02,True
14,1,9,2,2024-03-08 16:36:02,True
15,1,1,4,2024-05-15 16:36:02,True
16,1,8,3,2024-05-17 16:36:02,True
17,1,4,2,2024-03-04 16:36:02,True
18,2,10,3,2024-01-14 16:36:02,True
19,2,5,3,2024-03-27 16:36:02,True
20,2,5,5,2024-09-14 16:36:02,True
21,2,8,2,2024-08-04 16:36:02,True
22,2,9,2,2024-08-26 16:36:02,True
23,2,10,5,2024-01-08 16:36:02,True
24,2,6,2,2023-12-12 16:36:02,True
25,3,4,5,2024-01-20 16:36:02,True
26,3,4,2,2024-05-24 16:36:02,True
27,3,4,2,2023-12-24 16:36:02,True
28,3,8,5,2024-09-01 16:36:02,True
29,3,2,1,2024-04-13 16:36:02,True
30,3,1,2,2024-01-04 16:36:02,True
31,3,1,4,2024-05-30 16:36:02,True
32,3,5,3,2024-07-23 16:36:02,True
33,3,3,3,2024-11-07 16:36:02,True
34,3,5,5,2024-09-05 16:36:02,True
35,4,10,4,2024-03-20 16:36:02,True
36,4,1,1,2024-11-25 16:36:02,True
37,4,9,1,2024-04-03 16:36:02,True
38,4,5,4,2024-11-09 16:36:02,True
39,4,8,5,2024-10-08 16:36:02,True
40,4,6,5,2024-09-27 16:36:02,True
41,4,2,5,2024-02-02 16:36:02,True
42,4,5,3,2024-01-26 16:36:02,True
43,4,2,5,2024-01-03 16:36:02,True
44,4,7,4,2024-10-19 16:36:02,True
45,4,1,3,2024-08-04 16:36:02,True
46,4,9,4,2024-04-21 16:36:02,True
47,4,2,1,2024-10-04 16:36:02,True
48,5,7,5,2024-05-14 16:36:02,True
49,5,7,5,2024-02-15 16:36:02,True
50,5,6,3,2024-01-22 16:36:02,True
51,5,3,3,2023-12-31 16:36:02,True
52,5,5,5,2024-10-15 16:36:02,True
53,5,4,3,2024-05-14 16:36:02,True
54,5,5,1,2024-09-12 16:36:02,True
55,5,7,1,2024-01-30 16:36:02,True
56,5,5,3,2024-03-18 16:36:02,True
57,5,8,4,2024-02-19 16:36:02,True
58,5,9,1,2024-09-28 16:36:02,True
59,5,7,3,2024-07-20 16:36:02,True
60,5,10,1,2024-09-07 16:36:02,True
61,5,7,5,2024-04-30 16:36:02,True
62,6,2,4,2024-12-01 16:36:02,True
63,6,1,5,2024-09-12 16:36:02,True
64,6,5,4,2024-04-21 16:36:02,True
65,6,3,4,2024-09-09 16:36:02,True
66,6,8,2,2024-03-14 16:36:02,True
67,6,9,5,2024-12-11 16:36:02,True
68,6,9,2,2024-10-16 16:36:02,True
69,6,7,4,2024-06-30 16:36:02,True
70,6,4,5,2024-03-05 16:36:02,True
71,6,8,4,2024-01-14 16:36:02,True
72,6,5,3,2024-03-20 16:36:02,True
73,6,9,1,2024-02-24 16:36:02,True
74,6,10,1,2024-11-14 16:36:02,True
75,7,1,2,2024-08-19 16:36:02,True
76,7,6,3,2024-01-27 16:36:02,True
77,7,6,1,2024-11-17 16:36:02,True
78,7,7,4,2024-06-02 16:36:02,True
79,7,10,3,2024-07-07 16:36:02,True
80,7,2,1,2024-06-29 16:36:02,True
81,7,8,1,2024-07-29 16:36:02,True
82,7,4,2,2024-09-18 16:36:02,True
83,7,1,1,2024-11-06 16:36:02,True
84,7,1,4,2024-06-20 16:36:02,True
85,8,4,1,2024-02-17 16:36:02,True
86,8,9,4,2024-09-04 16:36:02,True
87,8,8,3,2024-07-11 16:36:02,True
88,8,6,3,2024-03-10 16:36:02,True
89,8,1,2,2024-02-14 16:36:02,True
90,8,6,3,2024-05-05 16:36:02,True
91,8,4,4,2024-01-06 16:36:02,True
92,8,1,4,2024-07-28 16:36:02,True
93,8,3,3,2024-06-21 16:36:02,True
94,8,5,3,2024-02-05 16:36:02,True
95,8,5,2,2024-10-02 16:36:02,True
96,8,2,1,2024-07-20 16:36:02,True
97,8,7,5,2024-05-23 16:36:02,True
98,8,5,2,2024-01-11 16:36:02,True
99,8,5,5,2024-04-24 16:36:02,True
100,9,1,4,2024-05-03 16:36:02,True
101,9,1,2,2024-04-05 16:36:02,True
102,9,7,3,2024-05-23 16:36:02,True
103,9,7,3,2024-02-29 16:36:02,True
104,9,7,4,2024-11-15 16:36:02,True
105,9,1,3,2024-12-10 16:36:02,True
106,9,7,1,2024-12-06 16:36:02,True
107,9,8,3,2024-02-24 16:36:02,True
108,9,1,3,2024-06-08 16:36:02,True
109,9,10,1,2024-05-01 16:36:02,True
110,9,7,5,2024-11-02 16:36:02,True
111,9,2,5,2024-09-10 16:36:02,True
112,9,4,3,2024-01-18 16:36:02,True
113,9,7,2,2024-12-12 16:36:02,True
114,9,1,4,2024-02-01 16:36:02,True
115,9,10,5,2024-07-29 16:36:02,True
116,10,4,4,2024-04-26 16:36:02,True
117,10,8,1,2024-01-27 16:36:02,True
118,10,3,5,2024-04-16 16:36:02,True
119,10,5,3,2024-08-21 16:36:02,True
120,10,2,5,2024-07-08 16:36:02,True
121,10,2,5,2024-11-07 16:36:02,True
122,10,9,4,2024-08-10 16:36:02,True
123,10,2,3,2024-08-24 16:36:02,True
124,10,9,1,2024-05-30 16:36:02,True
125,10,5,3,2024-07-18 16:36:02,True
126,10,1,2,2024-04-24 16:36:02,True
127,10,10,3,2023-12-18 16:36:02,True
